keywords,sentiment_coeff,TFIDF
exactly,1.515136347228305,0.0
aware,1.259377295004622,0.0
circumstances,-1.2646646225520644,0.0
taken,1.0658876219952678,0.0
grow,-1.0601231559431066,0.0
seriously,1.1482935819466202,0.0
compromise,-1.148931702744426,0.0
families,-1.154424168040898,0.0
speak,1.3840503265339617,0.0
plainly,1.2141701852973408,0.0
house,1.178378813959352,0.0
kings,-1.138886677066114,0.0
closing,1.2331251454260117,0.0
glanced,1.3869862900297294,0.0
apparent,-1.293043530450799,0.0
surprise,1.4736622536795352,0.0
energetic,1.2831419829478925,0.0
slowly,1.05110284486281,0.0
gigantic,-1.2312559194093384,0.0
majesty,1.1028794353813192,0.0
state,-1.161203733783824,0.0
able,1.1354522894278654,0.0
sprang,1.1483722835524297,0.0
paced,1.3840643381486062,0.0
agitation,1.0778280991019953,0.0
gesture,1.4269897525324169,0.0
ground,1.2094427379085644,0.0
cried,1.3274651738089305,0.0
king,-1.0277158520941827,0.0
attempt,-1.1865572960291153,0.0
conceal,1.3068017191754917,0.0
addressing,1.4002547983240214,0.0
grand,1.045056516656723,0.0
duke,1.0784159310795045,0.0
sitting,1.296612030326349,0.0
passing,1.1670466244674051,0.0
white,1.053776839853754,0.0
forehead,1.1360568519640035,0.0
accustomed,1.2115013874438096,0.0
business,1.0695949421982005,0.0
putting,1.2453063999612488,0.0
purpose,-1.1755649685418736,0.0
visit,1.2161198894266456,0.0
acquaintance,1.400373418388331,0.0
known,-1.2059304150536083,0.0
familiar,1.3163782762136418,0.0
look,1.4989297959074452,0.0
index,-1.1570036972392832,0.0
opening,-1.1083330549346135,0.0
adopted,-1.2674550906449744,0.0
system,-1.256503376905906,0.0
concerning,-1.1073127848790916,0.0
difficult,-1.1065109229445167,0.0
subject,-1.187128075112343,0.0
furnish,-1.3325072511664742,0.0
found,1.1587858491841512,0.0
staff,1.2096809208443544,0.0
commander,1.0499701078532502,0.0
sea,-1.1056276720510163,0.0
hum,1.1262649170818846,0.0
born,-1.1415885768528908,0.0
jersey,-1.120364583385154,0.0
year,-1.0630109376076915,0.0
la,1.0224298845202864,0.0
imperial,1.0462569063175682,0.0
retired,1.265371906615166,0.0
stage,-1.1222821831100995,0.0
living,1.062843800696219,0.0
became,1.106789456647599,0.0
young,1.1145344874550307,0.0
letters,1.10486614983967,0.0
secret,-1.0911841732539351,0.0
papers,1.1366798782554652,0.0
follow,-1.1499289856040904,0.0
produce,-1.2330465717598542,0.0
purposes,-1.3658353446735512,0.0
prove,-1.069313785475987,0.0
private,1.0609732690770508,0.0
stolen,1.4162013103450901,0.0
photograph,1.113587817247595,0.0
oh,1.3000344880959611,0.0
